"","happy","hapmar","health","finalter","satfin","income16","new_income_range"
"349","Pretty happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"350","Pretty happy","VERY HAPPY","Good","Better","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"351","Very happy","VERY HAPPY","Good","Stayed same","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"352","Very happy",".i:  Inapplicable","Good","Worse","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"353","Pretty happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"354","Not too happy",".i:  Inapplicable","Poor","Worse","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"355","Pretty happy",".i:  Inapplicable","Excellent","Better","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"356","Pretty happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"357","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"358","Pretty happy",".i:  Inapplicable","Good","Better","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"359","Pretty happy",".i:  Inapplicable","Poor","Worse","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"360","Pretty happy",".i:  Inapplicable","Good","Stayed same","Pretty well satisfied","$4 000 TO 4 999","0 to 9 999"
"361","Not too happy","PRETTY HAPPY","Fair","Worse","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"362","Pretty happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"363","Pretty happy","PRETTY HAPPY","Good","Better","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"364","Pretty happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"365","Pretty happy",".i:  Inapplicable","Fair","Stayed same","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"366","Not too happy","VERY HAPPY","Good","Stayed same","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"367","Pretty happy","VERY HAPPY","Good","Worse","More or less satisfied","$7 000 TO 7 999","0 to 9 999"
"368","Pretty happy",".i:  Inapplicable","Good","Better","More or less satisfied","$3 000 TO 3 999","0 to 9 999"
"369","Very happy","VERY HAPPY","Excellent","Better","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"370","Pretty happy",".i:  Inapplicable","Fair","Better","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"371","Not too happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"372","Not too happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"373","Pretty happy",".i:  Inapplicable","Good","Worse","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"374","Pretty happy","VERY HAPPY","Good","Better","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"375","Pretty happy",".i:  Inapplicable","Poor","Better","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"376","Pretty happy",".i:  Inapplicable","Good","Worse","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"377","Not too happy",".i:  Inapplicable","Poor","Worse","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"378","Pretty happy",".i:  Inapplicable","Good","Stayed same","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"379","Pretty happy","VERY HAPPY","Excellent","Stayed same","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"380","Not too happy",".i:  Inapplicable","Fair","Worse","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
