"","satfin","income16","new_income_range"
"217","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"218","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"219","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"220","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"221","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"222","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"223","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"224","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"225","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"226","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"227","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"228","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"229","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"230","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"231","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"232","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"233","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"234","Pretty well satisfied","$3 000 TO 3 999","0 to 9 999"
"235","More or less satisfied","$3 000 TO 3 999","0 to 9 999"
"236","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"237","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"238","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"239","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"240","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"241","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"242","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"243","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"244","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"245","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"246","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"247","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"248","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"249","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"250","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"251","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"252","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"253","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"254","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"255","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"256","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"257","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"258","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"259","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"260","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"261","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"262","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"263","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"264","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"265","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"266","Not satisfied at all","UNDER $1 000","0 to 9 999"
"267","Not satisfied at all","UNDER $1 000","0 to 9 999"
"268","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"269","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"270","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"271","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"272","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"273","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"274","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"275","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"276","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"277","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"278","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"279","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"280","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"281","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"282","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"283","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"284","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"285","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"286","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"287","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"288","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"289","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"290","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"291","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"292","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"293","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"294","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"295","More or less satisfied","$8 000 TO 9 999","0 to 9 999"
"296","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"297","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"298","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"299","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"300","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"301","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"302","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"303","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"304","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"305","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"306","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"307","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"308","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"309","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"310","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"311","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"312","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"313","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"314","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"315","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"316","More or less satisfied","$5 000 TO 5 999","0 to 9 999"
"317","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"318","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"319","Pretty well satisfied","$20000 TO 22499","20 000 to 39 999"
"320","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"321","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"322","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"323","Not satisfied at all","$150000 TO $169999","90 000 to 170 000"
"324","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"325","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"326","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"327","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"328","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"329","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"330","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"331","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"332","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"333","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"334","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"335","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"336","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"337","Pretty well satisfied","$8 000 TO 9 999","0 to 9 999"
"338","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"339","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"340","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"341","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"342","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"343","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"344","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"345","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"346","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"347","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"348","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"349","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"350","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"351","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"352","More or less satisfied","$8 000 TO 9 999","0 to 9 999"
"353","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"354","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"355","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"356","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"357","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"358","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"359","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"360","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"361","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"362","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"363","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"364","Pretty well satisfied","$4 000 TO 4 999","0 to 9 999"
"365","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"366","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"367","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"368","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"369","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"370","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"371","More or less satisfied","$7 000 TO 7 999","0 to 9 999"
"372","More or less satisfied","$3 000 TO 3 999","0 to 9 999"
"373","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"374","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"375","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"376","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"377","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"378","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"379","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"380","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"381","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"382","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"383","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"384","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"385","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"386","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"387","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"388","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"389","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"390","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"391","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"392","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"393","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"394","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"395","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"396","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"397","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"398","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"399","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"400","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"401","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"402","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"403","Pretty well satisfied","$12500 TO 14999","10 000 to 19 999"
"404","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"405","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"406","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"407","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"408","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"409","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"410","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"411","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"412","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"413","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"414","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"415","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"416","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"417","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"418","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"419","Not satisfied at all","$170000 OR OVER","90 000 to 170 000"
"420","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"421","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"422","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"423","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"424","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"425","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
